2025-12-16 14:37:59,387 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62613.0 | IAT=0.084009
2025-12-16 14:37:59,387 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62614.0 | DstPort=443.0 | IAT=0.068000
2025-12-16 14:37:59,387 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=62614.0 | DstPort=443.0 | IAT=0.092007
2025-12-16 14:37:59,388 | ANOMALY | Size=892.0 | Proto=17.0 | SrcPort=443.0 | DstPort=50011.0 | IAT=0.169999
2025-12-16 14:37:59,388 | ANOMALY | Size=1494.0 | Proto=17.0 | SrcPort=443.0 | DstPort=52982.0 | IAT=0.292006
2025-12-16 14:37:59,388 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=54486.0 | DstPort=443.0 | IAT=0.659732
2025-12-16 14:37:59,388 | ANOMALY | Size=139.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62246.0 | IAT=0.029999
2025-12-16 14:37:59,389 | ANOMALY | Size=363.0 | Proto=17.0 | SrcPort=443.0 | DstPort=52982.0 | IAT=0.070996
2025-12-16 14:37:59,389 | ANOMALY | Size=1494.0 | Proto=17.0 | SrcPort=443.0 | DstPort=52982.0 | IAT=0.104017
2025-12-16 14:37:59,389 | ANOMALY | Size=1288.0 | Proto=17.0 | SrcPort=63071.0 | DstPort=443.0 | IAT=0.068996
2025-12-16 14:37:59,390 | ANOMALY | Size=1454.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62620.0 | IAT=0.120994
2025-12-16 14:37:59,390 | ANOMALY | Size=54.0 | Proto=6.0 | SrcPort=62618.0 | DstPort=443.0 | IAT=0.227000
2025-12-16 14:37:59,390 | ANOMALY | Size=78.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62619.0 | IAT=0.207000
2025-12-16 14:37:59,390 | ANOMALY | Size=74.0 | Proto=17.0 | SrcPort=53381.0 | DstPort=53.0 | IAT=0.445014
2025-12-16 14:37:59,391 | ANOMALY | Size=90.0 | Proto=17.0 | SrcPort=53.0 | DstPort=53381.0 | IAT=0.064986
2025-12-16 14:37:59,391 | ANOMALY | Size=1288.0 | Proto=17.0 | SrcPort=49582.0 | DstPort=443.0 | IAT=0.087003
2025-12-16 14:37:59,391 | ANOMALY | Size=1274.0 | Proto=17.0 | SrcPort=443.0 | DstPort=49582.0 | IAT=0.082997
2025-12-16 14:37:59,391 | ANOMALY | Size=233.0 | Proto=17.0 | SrcPort=61069.0 | DstPort=443.0 | IAT=0.437005
2025-12-16 14:37:59,391 | ANOMALY | Size=87.0 | Proto=17.0 | SrcPort=60022.0 | DstPort=53.0 | IAT=0.063995
2025-12-16 14:37:59,392 | ANOMALY | Size=146.0 | Proto=6.0 | SrcPort=62620.0 | DstPort=443.0 | IAT=0.142993
2025-12-16 14:37:59,392 | ANOMALY | Size=581.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62620.0 | IAT=0.341996
